"구분별(1)",구분별(2),2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021
"구분별(1)",구분별(2),사례수 (명),방송사 홈페이지 또는 애플리케이션을 이용하여 시청 (%),온라인 동영상 제공서비스(OTT) 홈페이지 또는 애플리케이션을 이용하여 시청 (%),SNS(페이스북트위터등)에서 링크를 이용하여 시청 (%),메신저(카카오톡라인등)로 전달 받은 링크를 이용하여 시청 (%),사례수 (명),방송사 홈페이지 또는 애플리케이션을 이용하여 시청 (%),온라인 동영상 제공서비스(OTT) 홈페이지 또는 애플리케이션을 이용하여 시청 (%),SNS(페이스북트위터등)에서 링크를 이용하여 시청 (%),메신저(카카오톡라인등)로 전달 받은 링크를 이용하여 시청 (%),사례수 (명),방송사 홈페이지 또는 애플리케이션을 이용하여 시청 (%),온라인 동영상 제공서비스(OTT) 홈페이지 또는 애플리케이션을 이용하여 시청 (%),SNS(페이스북트위터등)에서 링크를 이용하여 시청 (%),메신저(카카오톡라인등)로 전달 받은 링크를 이용하여 시청 (%)
"상세직업",단순노무종사자,176.3,35.8,52.7,20.0,46.6,365.0,31.8,48.5,20.6,37.5,407.3,43.0,61.4,7.1,36.7
"상세직업",직업군인,10.3,51.8,88.6,0.0,2.5,12.0,64.9,11.1,58.4,88.9,10.8,78.3,92.4,0.0,16.7
"상세직업",학생,939.6,43.1,65.2,36.1,35.6,1428.0,30.2,70.6,25.1,31.7,1489.2,47.1,69.0,15.6,25.3
"상세직업",전업주부,531.7,38.7,57.7,27.8,45.1,982.0,38.5,55.9,14.9,38.1,1073.1,41.4,64.5,10.0,37.7
"상세직업",군인(직업군인제외),4.0,27.8,63.3,18.1,51.5,5.0,50.3,72.4,27.6,78.0,7.6,50.6,67.8,40.4,49.4
"상세직업",기타/무직,231.2,48.0,57.6,22.7,40.5,340.0,34.1,59.2,17.1,30.4,422.6,34.9,66.5,10.9,28.4
"주택형태",단독주택,1013.1,39.7,55.5,30.7,47.1,1495.0,36.5,56.3,17.7,34.4,1785.6,38.2,62.6,9.1,31.1
"주택형태",아파트,2563.5,41.4,59.4,32.1,41.9,4292.0,37.8,62.2,21.1,36.2,4734.5,41.8,66.6,13.2,31.1
"주택형태",연립주택빌라다세대주택,819.5,50.6,60.6,29.3,34.8,1528.0,34.9,68.2,22.0,32.3,1621.7,43.2,73.3,11.1,29.8
"주택형태",비거주용건물내의주택,60.2,75.5,90.7,56.8,47.7,97.0,23.3,90.3,16.9,28.2,138.7,63.4,79.1,29.8,48.2
"주택형태",기타,1.4,0.0,100.0,0.0,100.0,23.0,0.0,91.5,56.1,72.2,13.2,72.6,63.1,7.8,61.3
"가족구성",1인가구,441.3,38.7,59.9,42.9,43.5,822.0,34.3,69.4,22.0,35.1,951.3,35.1,78.1,9.7,31.8
"가족구성",1세대가구,546.1,40.5,56.3,29.7,52.1,958.0,38.3,56.0,14.2,43.3,1263.9,37.8,58.5,8.3,34.3
"가족구성",2세대가구,3036.0,44.7,59.7,29.2,39.0,5015.0,35.9,64.1,21.0,33.5,5457.4,44.2,67.4,13.1,30.4
"가족구성",3세대가구,215.3,42.3,49.6,34.3,37.3,282.0,40.5,56.1,28.6,37.1,373.7,40.3,62.4,17.0,36.0
"가족구성",기타,219.0,39.3,66.5,44.6,57.1,357.0,45.2,52.1,23.9,32.3,247.4,34.7,72.6,12.2,23.3
"가구원수1",1인가구,441.3,38.7,59.9,42.9,43.5,822.0,34.3,69.4,22.0,35.1,951.3,35.1,78.1,9.7,31.8
"가구원수1",2인가구,919.5,41.1,59.4,32.0,50.0,1586.0,39.2,58.6,15.9,37.5,1947.3,40.0,60.2,8.1,34.0
"가구원수1",3인이상가구,3096.9,44.4,59.0,29.9,39.2,5027.0,36.2,62.9,21.9,34.2,5395.1,43.5,67.9,14.0,30.1
"가구주와의관계",가구주,1698.4,41.8,59.7,31.9,45.4,3091.0,37.9,61.0,18.1,35.9,3544.6,38.9,69.6,10.0,31.9
"가구주와의관계",가구주의배우자,978.1,40.1,56.9,27.5,44.9,1709.0,37.9,58.2,16.6,36.6,1981.7,40.7,63.2,10.6,32.6
"가구주와의관계",가구주의자녀,1644.5,45.8,60.5,33.0,36.9,2427.0,34.7,68.5,25.8,32.8,2543.6,46.3,67.3,16.2,28.5
"가구주와의관계",자녀의배우자,19.8,66.9,55.2,43.1,32.3,34.0,26.9,80.4,25.1,49.3,27.8,45.0,58.8,24.0,53.9
"가구주와의관계",손자.녀/그배우자,43.0,56.8,30.5,50.8,34.5,67.0,27.4,58.0,37.9,45.5,74.7,45.5,55.3,24.7,36.0
"가구주와의관계",부모(배우자부모포함),11.1,8.4,17.4,54.6,47.1,20.0,43.7,16.4,4.9,39.9,22.2,78.7,65.2,0.0,55.6
"가구주와의관계",형제자매/그배우자,43.6,48.8,67.0,40.4,39.2,73.0,24.7,61.9,39.4,23.1,75.8,22.4,85.7,2.3,24.3
"가구주와의관계",기타친인척,15.2,62.8,85.2,14.8,35.8,10.0,66.1,33.9,24.7,9.2,14.0,87.2,52.5,25.9,21.0
"가구주와의관계",동거인,4.0,0.0,82.2,0.0,17.8,2.0,0.0,100.0,0.0,0.0,9.3,20.1,0.0,0.0,79.9
