"구분별(1)",구분별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"구분별(1)",구분별(2),사례수 (명),TV 방송 프로그램 (VOD/다시보기) (%),해외 TV 방송 프로그램 (%),실시간 TV (%),영화 (%),OTT 사업자 자체 제작 프로그램(넷플릭스 오리지널 등) (%),예능/오락(개인방송 콘텐츠 포함) (%),음악 (%),기타 (%),사례수 (명),영화 (%),예능/오락(개인방송 콘텐츠 포함) (%),드라마 (%),교양/다큐멘터리 (%),교육/학습 (%),애니메이션(만화) (%),스포츠 (%),뉴스 (%),기타 (%)
"가구원수1",1인가구,822.0,67.2,3.8,26.3,22.2,32.8,69.4,24.2,0.0,951.3,46.4,80.5,61.8,14.5,0.8,5.8,20.8,27.4,0.7
"가구원수1",2인가구,1586.0,51.8,6.6,23.2,17.0,23.6,75.2,33.3,0.0,1947.3,34.2,77.3,43.7,20.8,4.7,4.9,21.9,32.2,2.9
"가구원수1",3인이상가구,5027.0,56.9,5.1,24.6,24.0,16.4,73.0,33.0,0.5,5395.1,38.7,81.6,45.5,20.2,12.4,12.9,24.5,23.2,1.8
"가구주와의관계",가구주,3091.0,57.2,4.9,25.0,21.8,22.4,72.3,29.3,0.3,3544.6,35.7,76.2,40.8,21.4,2.8,4.4,34.8,37.0,1.7
"가구주와의관계",가구주의배우자,1709.0,58.2,4.2,25.0,19.9,16.9,70.8,32.4,0.1,1981.7,35.8,78.9,63.0,19.1,7.5,4.8,7.8,26.4,3.6
"가구주와의관계",가구주의자녀,2427.0,55.9,6.4,22.6,24.3,19.2,75.9,35.8,0.6,2543.6,44.3,87.3,41.9,18.1,20.0,22.5,19.9,9.9,1.2
"가구주와의관계",자녀의배우자,34.0,72.1,2.9,29.7,19.5,7.2,70.8,44.2,0.0,27.8,39.2,89.7,67.3,18.9,0.5,2.9,17.5,19.7,1.3
"가구주와의관계",손자.녀/그배우자,67.0,60.2,1.3,37.3,25.6,14.3,62.0,26.7,0.8,74.7,37.9,91.0,46.7,21.4,13.0,18.9,33.3,9.4,0.0
"가구주와의관계",부모(배우자부모포함),20.0,52.2,5.2,23.3,0.0,0.0,57.9,4.0,0.0,22.2,3.4,79.2,44.1,6.4,0.0,0.0,21.0,66.8,0.0
"가구주와의관계",형제자매/그배우자,73.0,51.3,12.4,37.7,41.2,10.9,74.7,27.4,0.0,75.8,52.6,88.7,74.3,12.8,0.7,9.0,15.5,31.1,0.0
"가구주와의관계",기타친인척,10.0,17.5,0.0,35.9,4.0,19.3,100.0,59.3,0.0,14.0,51.6,98.0,52.0,4.9,0.0,2.9,8.2,0.0,2.0
"가구주와의관계",동거인,2.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,9.3,79.9,20.1,100.0,0.0,0.0,0.0,0.0,20.1,0.0
